field0,response_id,language,version,summary.word_count,summary.words_per_sentence,summary.sentence_count,summary.six_plus_words,summary.emojis,summary.emoticons,summary.hashtags,summary.urls,summary.capitals,personality.extraversion,personality.active,personality.assertive,personality.cheerful,personality.energetic,personality.friendly,personality.sociable,personality.openness,personality.adventurous,personality.artistic,personality.emotionally_aware,personality.imaginative,personality.intellectual,personality.liberal,personality.conscientiousness,personality.ambitious,personality.cautious,personality.disciplined,personality.dutiful,personality.organized,personality.self_assured,personality.neuroticism,personality.aggressive,personality.anxiety_prone,personality.impulsive,personality.melancholy,personality.self_conscious,personality.stress_prone,personality.agreeableness,personality.cooperative,personality.empathetic,personality.genuine,personality.generous,personality.humble,personality.trusting,social_dynamics.social,social_dynamics.affiliation,social_dynamics.inward_focus,social_dynamics.outward_focus,social_dynamics.authentic,social_dynamics.negations,social_dynamics.clout,drives.affiliation,drives.achievement,drives.risk_seeking,drives.risk_aversion,drives.power,drives.reward,cognition.analytical_thinking,cognition.cognitive_processes,cognition.causation,cognition.certainty,cognition.comparisons,cognition.differentiation,cognition.discrepancies,cognition.insight,cognition.tentative,additional_indicators.focus_past,additional_indicators.focus_present,additional_indicators.focus_future,additional_indicators.self_focus,additional_indicators.external_focus,sallee.sentiment,sallee.goodfeel,sallee.badfeel,sallee.emotionality,sallee.non_emotion,sallee.ambifeel,sallee.admiration,sallee.amusement,sallee.excitement,sallee.gratitude,sallee.joy,sallee.love,sallee.anger,sallee.boredom,sallee.disgust,sallee.fear,sallee.sadness,sallee.calmness,sallee.curiosity,sallee.surprise
A3CIUOJXQ5VDQ2,dfed405c-639f-4ac2-8300-2ee90bb7436e,en,v1.0.0,14,4.666666667,3,0.642857143,0,0,0,0,0.042553191,39.49312238,43.54976846,23.44993451,36.79261861,60.93227306,45.67489436,28.15628054,47.0444584,59.72961733,31.77328387,5.832240272,15.47540544,70.49886093,58.49814532,28.41898981,16.57122744,32.26061023,32.81990925,15.56486742,1.095934851,75.05886944,29.27584058,29.10505491,20.71770523,41.08885165,38.80742446,11.08009518,16.778987,44.3473167,55.48345397,39.80752331,40.70914793,33.86772526,54.54706276,62.42971411,0.007925821,0.129990347,1.017244092,0.132417446,2.938606485,0.498185398,63.64608669,0.129990347,0.059124959,2.259372672,52.21799222,0.007224312,0.035163448,0.932585895,0.142857143,0.142857143,0,0.357142857,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3H7T87S984REU,e4deb7ad-8130-43cc-b8b6-b64836e86100,en,v1.0.0,160,14.54545455,11,0.14375,0,0,0,0,0.024630542,44.78894768,64.9933813,36.4624145,37.83094101,60.04665075,29.32970616,41.92791822,52.15290703,59.36976969,58.70423277,38.36367935,17.81314299,54.18106475,76.56922632,30.1201315,32.05618976,35.76101767,44.00064307,10.34520104,20.45242344,46.69948963,49.09049984,40.18693004,38.95664657,70.86799547,52.84557835,49.92126087,45.7941795,43.28415887,46.31895165,65.65594931,59.4895769,27.1297286,52.03343934,36.13519545,48.6350127,0.129990347,27.09822099,43.32533311,23.54508853,99.76486812,15.87613112,0.129990347,41.59923848,2.259372672,52.21799222,38.75941205,0.035163448,0.544807692,0.2,0.01875,0.01875,0.05,0.06875,0.05,0.05625,0.01875,0.0125,0.1375,0,0.05,0.03125,0.018518519,0.018518519,0,0.043209877,0.956790123,0.024691358,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0,0
A3J034YH7UG4KT,8cf85bbb-8405-4ff1-a3e5-3c5729714682,en,v1.0.0,132,11,12,0.189393939,0,0,0,0,0.045098039,32.50919242,40.26891549,24.3441679,23.29960608,50.25551036,29.83178951,27.07111691,41.78122006,61.20912804,67.14365152,14.74252029,31.07131458,41.27020072,27.51898063,32.66044534,29.54069056,34.44770896,41.51825207,29.50745827,15.21209294,45.63027795,43.04245581,35.41438038,32.05812054,49.95732563,52.29904735,54.1868713,25.27423922,40.89169654,36.82330769,70.82213703,76.93860504,20.55265985,34.90276922,38.42431103,0.055979674,0.129990347,88.67229474,0.132417446,76.53040733,99.82365033,0.139992083,0.129990347,0.059124959,99.9544815,49.96275759,0.007224312,99.99155096,0.287717172,0.068181818,0,0,0.075757576,0.045454545,0,0.022727273,0,0.060606061,0.083333333,0,0.113636364,0,-0.163636364,0.060606061,0.224242424,0.284848485,0.715151515,0,0.048484848,0,0,0,0.012121212,0,0,0,0.16969697,0,0,0,0,0
A2UEO5XR3598GI,b68105c0-35a0-420f-8638-e0e43d135e11,en,v1.0.0,1568,18.44705882,85,0.173469388,0,0,0,0,0.043900909,38.40783745,44.7040074,27.79137573,47.16093245,39.43426422,41.28465491,36.76398055,48.45267832,50.79645392,59.31212111,29.62980753,27.15455334,51.61064652,61.42816537,48.9138736,46.07468856,42.02003892,68.68882181,31.88220984,87.1994665,47.05604128,44.97183419,40.60450137,32.45085836,63.44956522,45.87742904,55.26414836,35.6185685,43.60021363,47.79881215,65.17509148,36.74997757,35.45776187,43.03022984,44.05207737,0.66322829,0.591715045,44.92296045,2.011089961,48.73679131,83.50261276,8.640682537,0.591715045,46.67051608,24.79930481,29.67806008,5.052241555,44.37702338,0.562457143,0.142219388,0.022959184,0.023596939,0.036989796,0.048469388,0.013392857,0.019132653,0.035076531,0.058035714,0.078443878,0.007015306,0.066964286,0.005739796,0.04163134,0.115310332,0.073678993,0.200907985,0.799092015,0.011918661,0.045778492,0.003895235,0.001782382,0.006501088,0.010225669,0.027358744,0.032234559,0.001625272,0.009751631,0.002167029,0.006501088,0.029905003,0,0
A3SFRT223XXWF7,0097bd6c-63da-4551-bb59-716ee9f0959f,en,v1.0.0,235,15.66666667,15,0.234042553,0,0,0,0,0.015706806,53.32064552,43.55779177,34.52558235,84.24215203,50.67983021,57.19477113,57.21650499,50.91812125,59.72961733,69.51179967,42.94500791,26.31632466,55.79136467,35.34614252,48.23468665,57.84552561,47.57383955,51.46307337,27.72257089,52.49774125,54.686452,48.69146234,39.19864932,43.20139533,80.95663448,45.83682925,50.7280549,50.19159699,45.39314867,39.89193176,75.64670291,19.75289605,41.37925283,51.61028749,44.34927642,54.84354187,0.129990347,1.017244092,91.43424646,0.766906796,75.9694606,92.59575723,0.129990347,0.059124959,52.20144004,2.275924853,0.007224312,99.92395916,0.430278419,0.14893617,0,0.021276596,0.042553191,0.063829787,0.042553191,0.021276596,0.042553191,0,0.14893617,0,0,0.063829787,0.104420466,0.134528368,0.030107901,0.269056735,0.730943265,0.104420466,0.052210233,0,0,0,0.104420466,0.030107901,0.030107901,0,0,0,0,0,0,0
A24HQ2N7332W7W,413c4019-c7dc-451e-aff0-9a26e08e82e0,en,v1.0.0,84,21,4,0.095238095,0,0,0,0,0.068965517,56.73783891,43.31364013,47.90982408,66.10019798,50.27863967,75.81031417,68.6001786,53.73678809,45.78908514,87.16620634,50.86998406,49.22678729,43.07867784,54.7703536,63.37625497,86.99365373,64.52472111,38.02439108,61.86940113,26.06633666,60.13188948,39.25527138,28.8337151,50.10521918,72.75379771,24.53469168,40.61382253,61.62250554,68.25443597,54.32918029,86.9202257,38.90612826,70.35247819,85.80642819,64.46932004,100,97.7137157,1.017244092,98.89927998,0.585370941,0.498185398,100,97.7137157,0.059124959,52.23868245,2.238682446,0.007224312,100,0.188236808,0.142857143,0,0.047619048,0,0.047619048,0.047619048,0.047619048,0.047619048,0,0.095238095,0.047619048,0,0.095238095,0.381912817,0.381912817,0,0.381912817,0.618087183,0,0.13597918,0,0,0.13597918,0,0.245933637,0,0,0,0,0,0,0,0
A2G90R2ZU6KU5D,95a6926d-4d58-4165-ab33-92bfbdfb1d01,en,v1.0.0,175,8.75,20,0.171428571,0,0,0,0,0.037878788,51.28745777,28.98349124,42.00245072,78.84165659,44.75681585,56.51023345,57.99527038,43.81589527,41.30238819,43.71293891,37.34241313,36.65657159,57.86627945,20.05016735,45.61211584,37.53802349,72.45664396,43.31036295,32.92743871,26.51782226,72.19614768,39.89584397,45.40729117,40.23968758,50.61115821,24.43244814,43.91725041,58.36023953,48.70529192,56.44060671,62.36017335,47.95725199,40.19875704,44.74454608,53.63241077,55.76391423,78.82962814,33.75583125,86.5016966,0.28016564,0.498185398,80.2398114,78.82962814,98.86555462,99.98758586,49.98758586,0.007224312,100,0.682864431,0.114285714,0.057142857,0,0.114285714,0,0.028571429,0.028571429,0.028571429,0.085714286,0.085714286,0,0.057142857,0.057142857,0.261856431,0.354124377,0.092267946,0.446392323,0.553607677,0,0,0,0.002694224,0,0.340653257,0,0.092267946,0,0,0.055360768,0,0,0,0
A24W4W9E62FZP2,cef2637c-e22a-44a6-b66e-cb283d57a6b2,en,v1.0.0,165,11,15,0.151515152,0,0,0,0,0.022900763,34.55946473,66.58973398,36.56777912,19.5580669,29.23403886,32.94645114,33.11739643,49.23073272,46.11686032,81.82136824,36.02036551,47.53549801,46.58678654,31.57644392,43.20512562,53.43852304,34.5925865,55.1778193,26.41772696,50.4795375,41.76282899,58.33946255,58.37002517,41.12176457,78.0734441,62.39660564,59.52649598,42.34456684,48.5678083,38.33230425,67.86080265,63.89603142,34.20886246,57.34982379,53.13307137,0.007925821,0.129990347,37.76933815,0.132417446,58.57152581,100,6.144360342,0.129990347,0.059124959,51.53107672,2.946288173,0.007224312,98.55542745,0.188236808,0.090909091,0.03030303,0.03030303,0.03030303,0,0,0.03030303,0,0,0.121212121,0,0.060606061,0,-0.068698782,0.098031707,0.166730489,0.338285977,0.661714023,0.098031707,0.049015854,0,0,0.049015854,0,0,0.024507927,0,0.07352378,0.068698782,0,0.049015854,0.024507927,0.049015854
A7ID5H7FWLJHC,7989deaa-25c8-4508-ae6f-6ea5c2b07f10,en,v1.0.0,305,15.25,20,0.196721311,0,0,0,0,0.027888446,40.21550456,35.56116373,60.13387013,23.53362471,47.56580814,27.83166516,24.14893605,37.95103793,46.679595,37.87370865,28.7012631,15.35972914,51.17712491,22.73793231,42.38239459,48.26227996,46.58804836,60.35105751,35.95849725,26.41826857,37.38520829,59.1530044,56.82907949,48.74732511,63.06092222,64.53652692,61.93149996,51.95003325,41.39203233,48.11689909,28.35925223,67.83328208,36.27229313,28.86210705,51.73710344,0.007925821,0.129990347,64.74811211,0.132417446,74.62589142,53.77272283,1.022664348,0.129990347,87.59948032,99.39170736,50.11172722,88.50760526,99.26498827,0.489672131,0.163934426,0.049180328,0.016393443,0.081967213,0.06557377,0,0.032786885,0,0.081967213,0.147540984,0,0.081967213,0,-0.106901218,0.067658999,0.174560217,0.269282815,0.730717185,0.027063599,0.027063599,0,0,0.027063599,0,0.040595399,0.0135318,0,0.161028417,0.054127199,0.054127199,0,0,0
AYKOSAJTP5AVS,e92713be-0cdc-411e-89cb-7b8dc4268370,en,v1.0.0,135,22.5,6,0.259259259,0,0,0,0,0.016806723,38.87798816,29.85923682,45.6736214,20.08313253,60.93227306,26.21570062,34.79091373,35.48459552,40.23032351,32.35104729,5.975700567,3.351444193,54.55193002,40.33832016,35.18883235,53.99100723,28.79748472,54.77318588,15.05641426,1.095934851,41.24243253,49.30471937,41.70230191,39.60043072,69.20077966,49.54450795,47.63388159,57.62015514,29.82976545,39.76915092,27.69969891,49.86193171,11.24239859,34.62988886,51.82993203,2.212146811,92.00500747,53.96198795,0.132417446,15.54589401,100,2.285898249,92.00500747,0.059124959,52.13523132,2.342133576,99.92443853,99.78877837,0.026432089,0.148148148,0.074074074,0,0.074074074,0.037037037,0,0.037037037,0,0.037037037,0.185185185,0,0.074074074,0,-0.137931034,0,0.137931034,0.137931034,0.862068966,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0,0,0
A3HIEBXDI9EQA6,9208b332-bf02-4712-b53c-0f6e22ea60fb,en,v1.0.0,20,2,10,0.75,0,0,0,0,0.066666667,57.53349066,51.88105601,68.88505177,55.04043539,69.52110616,42.69419491,31.71886664,51.06603249,70.77240276,56.14426359,22.47684658,40.4423149,50.56775669,64.33874121,37.48726946,37.10114376,15.59520675,21.72149586,28.88555593,1.095934851,90.089207,26.35415644,41.58963208,22.49984539,55.35565706,13.48123957,11.08009518,20.69969535,44.77533513,59.76309759,39.79222971,40.05474568,36.24279893,37.50947948,71.60620963,0.007925821,0.129990347,1.017244092,0.132417446,0.28016564,0.498185398,63.64608669,0.129990347,100,2.259372672,52.21799222,100,0.035163448,0.932585895,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0.82547993,0.82547993,0,0.82547993,0.17452007,0,0.761780105,0,0.012739965,0,0,0,0,0,0,0,0,0,0,0
A2YDF506DAA5W4,ac01fe19-2e23-4908-bc15-08998b52db0c,en,v1.0.0,95,9.5,10,0.157894737,0,0,0,0,0.038961039,57.69813941,68.50749963,51.39568878,76.17700744,60.93227306,33.85577497,49.32709172,44.33861235,45.44613076,54.01835489,22.23186691,27.32707857,46.39896547,62.26840301,43.74560867,59.06255603,48.79903882,38.75348373,12.16230374,37.76492991,61.91451621,44.14527157,39.38937387,38.30193091,41.37758588,50.42638327,45.74019642,43.18961581,44.4017927,49.22313481,60.94071469,89.01105587,24.6294751,30.84729596,46.83519557,0.007925821,0.129990347,84.43819195,0.132417446,100,99.96640924,0,0.129990347,98.23539265,2.259372672,52.21799222,99.10171097,0.035163448,0.065558199,0.157894737,0,0,0.052631579,0.105263158,0,0.052631579,0,0.210526316,0.052631579,0.052631579,0.105263158,0,0.09212283,0.09212283,0,0.09212283,0.90787717,0,0,0,0,0,0.09212283,0,0,0,0,0,0,0,0,0
